Word,Neighbors,degree
east,"['west', 'north', 'northeast', 'south', 'southwest', 'northwest', 'southeast', 'eastern']",8
2008,"['2009', '2012', '2010', '2011', '2005', '2007', '2013', '2014', '2004', '2016']",10
along,[],0
another,['a'],1
2007,"['2005', '2009', '2008', '2003', '2011', '2010', '2006', '2004', '2013', '2012']",10
due,['owing'],1
died,[],0
d,[],0
2009,"['2008', '2013', '2011', '2012', '2007', '2010', '2005', '2014', '2015', '2017']",10
house,[],0
released,['rereleased'],1
back,[],0
general,[],0
within,[],0
received,"['receiving', 'earned', 'garnered']",3
like,[],0
life,[],0
english,[],0
11,"['13', '14', '16', '12', '17', '15', '19', '23', '22', '10']",10
left,[],0
2012,"['2014', '2016', '2013', '2008', '2015', '2009', '2011', '2010', '2017', '2018']",10
public,[],0
last,['next'],1
third,"['fourth', 'second', 'fifth', 'sixth', 'seventh', 'eighth', 'tenth', 'ninth', 'first', 'eleventh']",10
described,[],0
served,['serving'],1
include,"['including', 'such']",2
use,"['utilize', 'utilise']",2
british,[],0
small,"['large', 'tiny', 'smaller']",3
30,"['25', '20', '15', '22', '24', '10', '26', '14', '28', '27']",10
company,['corp'],1
set,[],0
will,"['would', 'must', 'could', 'cannot', 'should', 'can', 'might']",7
old,[],0
major,[],0
college,['university'],1
because,"['indeed', 'even', 'so', 'though', 'but', 'however', 'nevertheless', 'nonetheless', 'obviously', 'although']",10
2013,"['2014', '2015', '2017', '2012', '2009', '2018', '2016', '2011', '2019', '2008']",10
18,"['14', '17', '19', '16', '21', '13', '15', '23', '22', '11']",10
any,[],0
16,"['14', '13', '17', '15', '11', '19', '12', '22', '23', '21']",10
local,[],0
14,"['13', '16', '17', '11', '15', '19', '22', '23', '12', '26']",10
2014,"['2015', '2013', '2012', '2018', '2016', '2017', '2019', '2011', '2009', '2008']",10
did,"['didn', 'would', 'does', 'chose', 'wanted']",5
main,[],0
included,['including'],1
000,"['700', '500', '600', '300', '250', '800', 'million', '400', '150', '200']",10
york,[],0
13,"['14', '11', '16', '17', '15', '22', '19', '23', '12', '26']",10
central,"['eastern', 'western', 'southern']",3
2005,"['2003', '2007', '2004', '2009', '2008', '2002', '2001', '2006', '2010', '2011']",10
2015,"['2017', '2014', '2013', '2018', '2016', '2019', '2012', '2011', '2009', '2010']",10
25,"['30', '15', '20', '22', '26', '24', '28', '27', '23', '31']",10
times,[],0
government,['governments'],1
although,"['though', 'however', 'but', 'nevertheless', 'nonetheless', 'because', 'yet', 'indeed', 'still', 'even']",10
t,"['wouldn', 'didn', 'couldn']",3
e,['g'],1
own,[],0
still,"['though', 'although']",2
order,[],0
large,['small'],1
season,['seasons'],1
film,"['movie', 'screenplay']",2
built,"['constructed', 'rebuilt']",2
near,"['vicinity', 'nearby', 'overlooking', 'outskirts', 'located', 'situated']",6
off,[],0
17,"['19', '14', '13', '23', '22', '16', '21', '26', '27', '15']",10
places,['populated'],1
2004,"['2003', '2002', '2005', '2008', '2001', '1998', '2000', '1996', '2007', '1999']",10
single,[],0
late,"['early', 'mid']",2
2016,"['2018', '2014', '2012', '2015', '2017', '2013', '2019', '2011', '2008', '2010']",10
music,[],0
village,['town'],1
published,"['republished', 'reprinted', 'edited']",3
death,[],0
u,[],0
among,['amongst'],1
m,[],0
very,"['quite', 'extremely', 'fairly', 'remarkably', 'exceedingly', 'incredibly', 'comparatively', 'relatively', 'too', 'unusually']",10
according,[],0
moved,"['relocated', 'returned', 'relocating']",3
players,[],0
age,[],0
six,"['five', 'eight', 'four', 'seven', 'three', 'nine', 'eleven', 'fourteen', 'twelve', 'two']",10
2000,"['2004', '2002', '2001', '1998', '1996', '2003', '1999', '1997', '2005', '1994']",10
town,['village'],1
great,[],0
could,"['might', 'should', 'cannot', 'would', 'can', 'must', 'will']",7
those,[],0
if,"['unless', 'whenever', 'cannot', 'not', 'so', 'always', 'therefore', 'should']",8
just,[],0
final,['penultimate'],1
original,[],0
created,[],0
24,"['26', '22', '28', '27', '25', '23', '29', '13', '31', '15']",10
down,['out'],1
association,[],0
country,[],0
football,"['soccer', 'basketball']",2
population,[],0
b,['r'],1
top,[],0
children,[],0
19,"['17', '23', '22', '14', '21', '13', '27', '26', '16', '28']",10
ii,"['iii', 'iv', 'vi']",3
what,"['why', 'really', 'honestly', 'definitely', 'something', 'nothing']",6
league,['leagues'],1
service,[],0
club,[],0
having,['being'],1
again,"['finally', 'when', 'once']",3
led,[],0
way,[],0
produced,[],0
21,"['23', '19', '17', '22', '27', '28', '26', '29', '14', '13']",10
non,[],0
career,[],0
much,[],0
various,"['other', 'multitude', 'numerous', 'several', 'plethora', 'many', 'myriad', 'these']",8
line,['lines'],1
son,"['nephew', 'cousin', 'eldest', 'grandson', 'brother', 'father', 'daughter', 'stepson', 'uncle', 'grandfather']",10
2017,"['2015', '2018', '2019', '2013', '2014', '2016', '2012', '2009', '2011', '2020']",10
system,['systems'],1
women,[],0
started,"['began', 'resumed']",2
2003,"['2005', '2002', '2001', '2004', '1998', '1999', '1997', '2007', '1995', '1996']",10
side,['sides'],1
men,[],0
living,[],0
given,[],0
different,['differing'],1
make,['give'],1
written,['penned'],1
become,['becoming'],1
form,[],0
22,"['26', '28', '27', '23', '29', '31', '17', '19', '13', '14']",10
went,"['returned', 'came', 'proceeded']",3
2002,"['2001', '2003', '2004', '1998', '2005', '1999', '1997', '2000', '1996', '2007']",10
co,[],0
president,"['vice', 'presidency']",2
came,"['brought', 'went']",2
next,['last'],1
white,['black'],1
2001,"['2002', '2003', '1999', '2005', '1998', '2004', '2000', '1997', '2007', '1996']",10
official,['website'],1
st,['saint'],1
23,"['22', '28', '27', '26', '19', '29', '17', '21', '31', '13']",10
founded,['founds'],1
married,"['remarried', 'wed', 'widowed', 'divorced', 'eloped']",5
2018,"['2017', '2019', '2015', '2016', '2014', '2013', '2012', '2020', '2011', '2009']",10
father,"['stepfather', 'grandfather', 'uncle', 'son', 'mother', 'brother', 'nephew', 'cousin', 'stepson', 'grandmother']",10
western,"['eastern', 'southern', 'northern', 'southwestern', 'central']",5
together,[],0
worked,[],0
often,"['sometimes', 'frequently', 'usually', 'occasionally', 'rarely', 'invariably', 'seldom', 'oftentimes', 'typically', 'infrequently']",10
even,"['though', 'so', 'because', 'indeed', 'obviously', 'but', 'nonetheless', 'seldom', 'nevertheless', 'always']",10
joined,"['rejoined', 'joining']",2
center,[],0
full,[],0
book,"['essay', 'autobiography']",2
short,['long'],1
total,[],0
do,[],0
head,[],0
few,['handful'],1
summer,['winter'],1
director,['consultant'],1
region,['regions'],1
development,['developing'],1
show,[],0
england,[],0
community,[],0
period,['periods'],1
take,['taking'],1
player,[],0
without,[],0
man,[],0
28,"['27', '26', '29', '22', '23', '31', '17', '19', '21', '24']",10
26,"['27', '28', '29', '22', '23', '31', '17', '19', '24', '13']",10
london,[],0
play,[],0
title,['titles'],1
professional,[],0
young,[],0
originally,[],0
using,"['utilizing', 'uses']",2
french,[],0
27,"['28', '26', '29', '22', '23', '31', '17', '19', '21', '24']",10
works,[],0
building,[],0
present,[],0
office,[],0
currently,[],0
award,"['awards', 'awardee']",2
making,[],0
1999,"['1998', '1997', '2003', '2001', '1995', '2002', '1996', '1994', '2004', '1993']",10
party,"['democratic', 'socialist']",2
television,['tv'],1
said,"['stated', 'told', 'remarked', 'commented', 'saying', 'replied', 'joked', 'opined', 'stating', 'says']",10
point,[],0
river,"['headwaters', 'confluence', 'tributary', 'estuary', 'basin', 'gorge', 'watershed', 'empties', 'tributaries', 'lake']",10
games,[],0
america,[],0
100,"['200', '50', '40', '150', '60', '120', '110', '80', '500', '400']",10
record,[],0
department,[],0
returned,"['returning', 'moved', 'went', 'rejoined']",4
20th,"['21st', '19th', 'century', '18th', '17th', 'twentieth', '16th']",7
establishments,['disestablishments'],1
completed,[],0
role,['roles'],1
species,"['genus', 'genera', 'subspecies', 'monotypic', 'maculata', 'subgenus', 'invertebrates', 'subfamily', 'crustacean', 'euphorbiaceae']",10
us,[],0
black,['white'],1
site,[],0
further,[],0
once,['again'],1
right,[],0
1998,"['1997', '1996', '1995', '1999', '1994', '2003', '2002', '1993', '2001', '2004']",10
william,"['henry', 'edward', 'robert', 'edmund', 'james', 'charles', 'thomas', 'hugh', 'john', 'richard']",10
see,[],0
level,[],0
working,[],0
land,['lands'],1
days,"['months', 'weeks', 'hours', 'years']",4
29,"['27', '26', '28', '22', '31', '23', '19', '17', '21', '24']",10
continued,"['began', 'resumed']",2
considered,"['regarded', 'deemed']",2
northern,"['southern', 'eastern', 'western', 'northeastern', 'southwestern', 'southeastern', 'northwestern']",7
lost,['losing'],1
2019,"['2018', '2017', '2015', '2016', '2014', '2013', '2020', '2012', '2011', '2009']",10
j,"['w', 'h', 'r', 'p', 'g']",5
support,[],0
german,"['austrian', 'hungarian']",2
others,[],0
road,[],0
southern,"['northern', 'eastern', 'southwestern', 'western', 'southeastern', 'northeastern', 'northwestern', 'north', 'central']",9
james,"['john', 'thomas', 'andrew', 'robert', 'william', 'george', 'hugh', 'stuart', 'timothy', 'richard']",10
every,[],0
though,"['although', 'but', 'however', 'nonetheless', 'even', 'nevertheless', 'because', 'yet', 'indeed', 'still']",10
field,[],0
open,[],0
division,[],0
post,[],0
1996,"['1994', '1998', '1992', '1997', '1995', '1993', '1990', '1999', '1988', '2004']",10
law,[],0
george,"['james', 'john', 'william', 'charles', 'edward', 'andrew', 'thomas', 'henry', 'robert', 'richard']",10
events,[],0
album,"['ep', 'compilation', 'albums', 'song']",4
society,[],0
1997,"['1995', '1998', '1994', '1993', '1996', '1999', '2003', '1990', '1989', '1992']",10
re,[],0
half,[],0
buildings,"['houses', 'structures']",2
addition,['additionally'],1
position,['positions'],1
special,[],0
france,['belgium'],1
council,['councils'],1
province,['provinces'],1
live,[],0
similar,"['unusual', 'typical']",2
run,[],0
park,[],0
alumni,"['faculty', 'university']",2
story,[],0
seven,"['nine', 'five', 'six', 'eight', 'three', 'eleven', 'four', 'fourteen', 'twelve', 'thirteen']",10
military,[],0
station,['stations'],1
0,"['3', '2', '1']",3
free,[],0
birth,[],0
male,['female'],1
business,[],0
formed,[],0
little,[],0
wife,"['daughter', 'niece', 'widow', 'husband', 'stepdaughter', 'mother', 'stepmother', 'widowed', 'cousin', 'aunt']",10
upon,[],0
opened,"['reopened', 'closed']",2
political,[],0
1995,"['1997', '1993', '1994', '1998', '1996', '1990', '1989', '1987', '1999', '1992']",10
david,"['jonathan', 'alan', 'michael', 'eric', 'steven', 'robert', 'brian', 'stephen', 'keith', 'jeffrey']",10
includes,"['comprises', 'contains', 'consists']",3
church,"['cathedral', 'churches', 'episcopal', 'chapel', 'congregational', 'baptist']",6
union,[],0
power,[],0
throughout,[],0
water,[],0
never,"['hadn', 'actually', 'already', 'yet', 'anyway']",5
developed,[],0
education,['vocational'],1
class,[],0
important,['crucial'],1
1994,"['1995', '1993', '1996', '1997', '1990', '1992', '1998', '1989', '1986', '1987']",10
good,[],0
result,['consequence'],1
game,[],0
announced,[],0
wrote,"['writes', 'remarked', 'commented', 'penned']",4
current,[],0
you,"['me', 'somebody', 'myself', 'gotta', 'we', 'yourself', 'everybody', 'wanna', 'gonna', 'nobody']",10
1992,"['1994', '1996', '1988', '1990', '1993', '1984', '1989', '1995', '1986', '1987']",10
l,[],0
king,[],0
f,['c'],1
art,[],0
kingdom,[],0
across,[],0
recorded,[],0
popular,[],0
31,"['27', '28', '26', '29', '22', '23', '17', '19', '24', '25']",10
research,"['biomedical', 'researches']",2
red,"['blue', 'yellow']",2
modern,[],0
eastern,"['southern', 'western', 'northern', 'southwestern', 'southeastern', 'northeastern', 'central', 'east', 'north', 'northwestern']",10
lead,[],0
taken,[],0
